"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\components\others\app-icon.ts", "TypeScript", 26, 0, 0, 4, 30
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\base-error.ts", "TypeScript", 28, 0, 0, 2, 30
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\component-errors.ts", "TypeScript", 28, 0, 0, 3, 31
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\db-errors.ts", "TypeScript", 13, 0, 0, 3, 16
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\method-errors.ts", "TypeScript", 37, 0, 0, 3, 40
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\page-errors.ts", "TypeScript", 27, 0, 0, 3, 30
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\system-errors\example-system-error.ts", "TypeScript", 9, 0, 0, 3, 12
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\system-errors\uknown-page-error.ts", "TypeScript", 8, 0, 0, 2, 10
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\errors\system-errors\undefined-page-error.ts", "TypeScript", 9, 0, 0, 3, 12
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\layouts\base-layout.ts", "TypeScript", 7, 0, 0, 5, 12
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\layouts\frame-detail.ts", "TypeScript", 110, 0, 0, 19, 129
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\layouts\frame-list.ts", "TypeScript", 186, 0, 9, 40, 235
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\layouts\horizontal-stack.ts", "TypeScript", 10, 0, 0, 5, 15
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\layouts\room-card.ts", "TypeScript", 294, 0, 16, 53, 363
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\layouts\tab-layout.ts", "TypeScript", 48, 0, 0, 13, 61
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\layouts\vertical-stack.ts", "TypeScript", 9, 0, 0, 5, 14
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\pages\base-page.ts", "TypeScript", 12, 0, 1, 3, 16
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\pages\blank-page.ts", "TypeScript", 9, 0, 0, 3, 12
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\pages\dashboard-page.ts", "TypeScript", 8, 0, 0, 2, 10
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\pages\home-page.ts", "TypeScript", 48, 0, 0, 11, 59
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\pages\login-page.ts", "TypeScript", 13, 0, 3, 5, 21
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\ts\pages\settings-page.ts", "TypeScript", 265, 0, 13, 50, 328
"c:\Users\dinok\Documents\GitHub\RPi-Smart-Home\src\web\tsconfig.json", "JSON", 0, 11, 61, 9, 81
"Total", "-", 2337, 11, 162, 449, 2959
